dataset_id,source_system,source_object,connection_ref,target_object,capture_strategy,apply_strategy,primary_key,watermark_column,event_time_column,tracked_columns,delete_policy,execution_group,criticality
health.reference_001,health_sql,dbo.Reference001,health_sql_readonly,reference_001,FULL,REPLACE,reference_001_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_002,health_sql,dbo.Reference002,health_sql_readonly,reference_002,FULL,REPLACE,reference_002_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_003,health_sql,dbo.Reference003,health_sql_readonly,reference_003,FULL,REPLACE,reference_003_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_004,health_sql,dbo.Reference004,health_sql_readonly,reference_004,FULL,REPLACE,reference_004_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_005,health_sql,dbo.Reference005,health_sql_readonly,reference_005,FULL,REPLACE,reference_005_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_006,health_sql,dbo.Reference006,health_sql_readonly,reference_006,FULL,REPLACE,reference_006_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_007,health_sql,dbo.Reference007,health_sql_readonly,reference_007,FULL,REPLACE,reference_007_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_008,health_sql,dbo.Reference008,health_sql_readonly,reference_008,FULL,REPLACE,reference_008_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_009,health_sql,dbo.Reference009,health_sql_readonly,reference_009,FULL,REPLACE,reference_009_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_010,health_sql,dbo.Reference010,health_sql_readonly,reference_010,FULL,REPLACE,reference_010_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_011,health_sql,dbo.Reference011,health_sql_readonly,reference_011,FULL,REPLACE,reference_011_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_012,health_sql,dbo.Reference012,health_sql_readonly,reference_012,FULL,REPLACE,reference_012_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_013,health_sql,dbo.Reference013,health_sql_readonly,reference_013,FULL,REPLACE,reference_013_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_014,health_sql,dbo.Reference014,health_sql_readonly,reference_014,FULL,REPLACE,reference_014_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_015,health_sql,dbo.Reference015,health_sql_readonly,reference_015,FULL,REPLACE,reference_015_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_016,health_sql,dbo.Reference016,health_sql_readonly,reference_016,FULL,REPLACE,reference_016_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_017,health_sql,dbo.Reference017,health_sql_readonly,reference_017,FULL,REPLACE,reference_017_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_018,health_sql,dbo.Reference018,health_sql_readonly,reference_018,FULL,REPLACE,reference_018_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_019,health_sql,dbo.Reference019,health_sql_readonly,reference_019,FULL,REPLACE,reference_019_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_020,health_sql,dbo.Reference020,health_sql_readonly,reference_020,FULL,REPLACE,reference_020_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_021,health_sql,dbo.Reference021,health_sql_readonly,reference_021,FULL,REPLACE,reference_021_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_022,health_sql,dbo.Reference022,health_sql_readonly,reference_022,FULL,REPLACE,reference_022_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_023,health_sql,dbo.Reference023,health_sql_readonly,reference_023,FULL,REPLACE,reference_023_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_024,health_sql,dbo.Reference024,health_sql_readonly,reference_024,FULL,REPLACE,reference_024_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_025,health_sql,dbo.Reference025,health_sql_readonly,reference_025,FULL,REPLACE,reference_025_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_026,health_sql,dbo.Reference026,health_sql_readonly,reference_026,FULL,REPLACE,reference_026_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_027,health_sql,dbo.Reference027,health_sql_readonly,reference_027,FULL,REPLACE,reference_027_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_028,health_sql,dbo.Reference028,health_sql_readonly,reference_028,FULL,REPLACE,reference_028_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_029,health_sql,dbo.Reference029,health_sql_readonly,reference_029,FULL,REPLACE,reference_029_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_030,health_sql,dbo.Reference030,health_sql_readonly,reference_030,FULL,REPLACE,reference_030_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_031,health_sql,dbo.Reference031,health_sql_readonly,reference_031,FULL,REPLACE,reference_031_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_032,health_sql,dbo.Reference032,health_sql_readonly,reference_032,FULL,REPLACE,reference_032_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_033,health_sql,dbo.Reference033,health_sql_readonly,reference_033,FULL,REPLACE,reference_033_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_034,health_sql,dbo.Reference034,health_sql_readonly,reference_034,FULL,REPLACE,reference_034_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_035,health_sql,dbo.Reference035,health_sql_readonly,reference_035,FULL,REPLACE,reference_035_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_036,health_sql,dbo.Reference036,health_sql_readonly,reference_036,FULL,REPLACE,reference_036_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_037,health_sql,dbo.Reference037,health_sql_readonly,reference_037,FULL,REPLACE,reference_037_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_038,health_sql,dbo.Reference038,health_sql_readonly,reference_038,FULL,REPLACE,reference_038_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_039,health_sql,dbo.Reference039,health_sql_readonly,reference_039,FULL,REPLACE,reference_039_id,,,,APPLY,health_full_refresh,MEDIUM
health.reference_040,health_sql,dbo.Reference040,health_sql_readonly,reference_040,FULL,REPLACE,reference_040_id,,,,APPLY,health_full_refresh,MEDIUM
